1075.24,695.153,698.964,690.948,837.999,921.69,792.52,687.977
891.331,570.296,522.183,585.025,602.977,1036.26,792.505,522.1
971.3,605.003,563.044,627.046,757.138,987.277,723.609,562.897
897.909,576.667,586.861,715.212,823.158,955.253,747.574,620.35
1040.82,719.925,731.556,766.963,890.588,1015.54,786.16,768.055
985.056,601.535,715.313,741.012,828.293,947.016,783.497,707.573
1054.45,685.936,552.408,669.906,667.03,827.617,770.941,563.482
1001.91,525.879,551,633.904,713.029,794.915,786.106,558.835
1035.77,574.758,508.407,620.03,755.572,954.637,792.076,548.369
941.662,627.099,556.111,724.931,634.232,831.952,880.527,559.606
1022.88,481.323,442.704,701.916,770.891,903.567,702.78,477.521
906.395,538.116,528.347,597.468,770.451,1005.11,712.965,542.513
863.136,503.249,414.484,606.382,714.034,1004.42,592.631,425.948
1011.49,600.736,627.157,690.971,782.989,1014.94,675.279,629.592
997.281,729.544,678.661,689.86,854.439,963.028,775.632,684.111
1067.48,686.522,595.269,655.482,779.68,941.82,794.766,621.019
978.729,495.232,503.051,549.338,727.549,790.667,784.427,533.392
1005.38,821.861,796.925,768.769,673.448,968.816,934.822,825.383
956.158,817.839,844.596,753.606,877.92,958.105,808.099,859.67
1066.66,862.462,891.476,827.231,926.128,989.938,872.77,881.728
1008.55,702.321,598.983,690.021,754.735,1035.65,793.242,605.573
942.563,600.345,460.501,565.855,660.285,951.833,773.387,467.044
868.426,426.092,373.472,560.382,695.947,977.241,570.325,381.088
1004.91,469.531,505.732,557.953,601.184,877.779,570.785,502.411
982.5,1054.56,870.756,916.409,851.915,990.551,1186.89,881.151
913.106,1207.38,930.747,822.776,651.174,954.437,1267.3,927.564
1024.82,701.662,556.062,668.936,760.61,989.856,843.149,591.209
1062.79,969.463,891.293,804.769,933.863,941.082,967.935,893.208
1082.29,1077.32,848.972,722.9,860.334,1002.07,956.116,851.25
945.72,672.061,598.736,760.958,829.944,965.349,736.367,598.407
