P_Code,Bias_Start,EG_Eps_Start,SM_Temp_Start,WSLS_WS_Start,UCB_Start,Grad_Start,Kal_Start,UCBSM_Temp_Start,UCBSM_Exp_Start,Bias_Mod,EG_Eps_Mod,SM_Temp_Mod,WSLS_WS_Mod,UCB_Mod,Grad_Mod,Kal_Mod,UCBSM_Temp_Mod,UCBSM_Exp_Mod
1,0.96,0.13,7.2,0.5,4.12,6.27694,0.22729,0.797765,2.5986,1,0.07,11.6,0.73,1.14,9.99887,0.0001,0.0100022,5.06513
2,0.64,0.23,6.45,0.34,1.77,2.3927,0.731375,19.9752,8.88439,0.58,0.13,7.12,0.41,0.27,9.99863,1,17.488,10
3,0.65,0.67,15.39,0.78,0.13,1.33476,0.0918444,1.88492,8.25438,0.63,0.43,14.11,0.81,0,2.27958,0.0001,2.30438,9.99996
4,0.35,0.04,2.62,0.19,1.6,0.277467,0.872141,2.51386,4.73648,0.36,0.03,3.2,0.25,0.19,3.64571,0.415602,3.0188,4.28173
5,0.32,0.72,8.97,0.72,0.59,0.664026,0.770831,1.76196,8.89577,0.34,0.43,8.52,1,0.02,2.98586,0.441577,1.28623,10
6,0.67,0.97,2.87,0.95,0.29,2.11199,0.000122993,8.86221,1.63412,0.68,0.52,3.93,0.91,0,3.78435,0.0001,6.02118,0.490137
7,0.23,0.52,13.1,0.22,0.57,1.10056,0.249333,2.59487,1.99756,0.2,0.35,20,0.25,0.03,3.90819,0.39275,3.45036,3.58418
8,0.96,0.13,1.11,0.15,0.76,2.62595,0.205572,1.63367,8.66798,1,0.03,1.35,0.2,0.04,6.08571,0.202733,1.73086,9.80777
9,0.28,0.54,1.68,0.37,1.56,2.75766,0.370613,3.84787,9.32316,0.3,0.31,2.19,0.26,0.21,6.29096,0.415681,2.95758,7.27586
10,0.24,0.52,10.91,0.67,0.44,0.67595,0.0013003,1.57433,4.20669,0.21,0.26,9.81,0.81,0.01,1.95148,0.0001,2.34704,6.71181
11,0.56,0.06,2.16,0.65,0.84,3.61832,0.563871,5.30059,4.61578,0.6,0.04,2.66,0.59,0.04,9.99898,0.402773,5.24136,5.07915
12,0.84,0.3,0.97,0.88,0.35,1.11939,0.0166908,1.77073,9.55432,0.84,0.13,1.1,0.97,0,2.83461,0.0001,1.12004,8.951
13,0.79,0.27,8.39,0.57,3.57,1.01747,0.034885,0.755401,5.28752,0.75,0.15,8.44,0.58,0.87,3.90031,0.0001,0.749089,4.67527
14,0.11,0.79,2.94,0.96,0.64,1.69769,0.55789,1.83416,6.80954,0.13,0.42,2.5,1,0.02,2.75417,0.407979,1.9167,5.6469
15,0.41,0.46,19.77,0.16,0.21,1.42247,0.0540135,1.21467,3.42673,0.43,0.27,13.2,0.29,0,3.90923,0.0001,2.11014,5.40236
16,0.18,0.67,7.25,0.91,1.63,1.95271,0.0534866,2.84916,1.19968,0.16,0.41,6.35,0.89,0.2,4.08198,0.0001,2.12063,0.898221
17,0.31,0.58,4.35,0.92,0.92,4.85747,0.937273,3.07733,0.360352,0.34,0.38,4.62,1,0.09,9.99886,0.84134,3.07494,0.903639
18,0.66,0.27,14.92,0.89,0.12,2.44322,0.347986,3.28613,7.41081,0.65,0.17,20,1,0,4.98644,0.432074,2.35277,4.69075
19,0.81,0.52,1.2,0.66,1.11,1.14816,0.596479,0.623919,9.59929,0.84,0.28,0.73,0.62,0.11,3.28673,0.466285,0.249538,10
20,0.84,0.19,5.98,0.32,0.45,2.01137,0.256483,1.12636,4.06589,0.85,0.11,5.53,0.38,0.01,9.99876,0.41082,0.367787,4.51161
21,0.84,0.14,2.5,0.97,1.21,1.77377,0.107437,2.61943,3.79091,0.87,0.06,2.69,0.98,0.15,2.99189,0.159653,2.87126,3.51456
22,0.78,0.89,3.91,0.13,1.9,0.259525,0.42369,6.57397,7.02376,0.78,0.43,3.21,0.18,0.33,1.68941,0.435875,8.39045,9.99996
23,0.54,0.91,1.71,0.76,1.39,4.27057,0.458077,15.8106,9.3071,0.57,0.5,1.88,0.83,0.14,9.99863,0.425738,13.6072,8.44355
24,0.03,0.48,8.86,0.35,2.41,3.09643,0.722522,8.78115,0.300017,0.03,0.28,11.14,0.38,0.43,9.99908,0.790696,6.93393,0.131856
25,0.84,0.12,4.96,0.23,0.49,1.30865,0.184725,8.22503,7.34395,0.8,0.06,5.81,0.18,0.02,4.09535,0.0001,9.7445,10
26,0.16,0.92,0.4,0.48,1.07,1.13968,0.959918,1.74885,0.778319,0.16,0.45,0.56,0.63,0.11,3.3394,0.44126,2.22304,1.94315
27,0.55,0.77,4.3,0.97,2.18,1.08592,0.142245,2.25095,5.10266,0.59,0.39,4.92,1,0.34,2.96036,0.0001,2.1346,3.648
28,0.25,0.82,2.29,0.35,0.34,1.30624,0.306233,0.0310561,6.64658,0.24,0.44,1.53,0.57,0.01,4.51916,0.0001,0.0449234,9.9999
29,0.71,0.91,0.13,0.31,1.38,2.84113,0.24112,5.54728,7.60887,0.68,0.55,0,0.37,0.16,9.99887,0.250842,4.5574,6.12379
30,0.15,0.53,7.98,0.84,0.36,0.1525,0.00995678,17.972,1.88945,0.14,0.27,8.03,0.89,0,2.71677,0.0001,39.9969,2.94673
