0.793888,0.350515,4.91927,0.652174,0.0859614,1.45608,0.0804438,4.61513,1.16801
0.79968,0.0800001,19.9969,0.146331,0.00109876,0.00013125,0.0278953,20,0.001
0.851832,0.285714,7.31124,0.755558,0.0228518,0.426853,0.304656,6.3276,0.001
0.761077,0.44,3.90743,0.956492,0.149182,0.967757,0.274366,5.39716,1.88187
0.253926,0.424242,3.61875,1,0.133823,0.382475,0.273222,3.36622,0.197152
0.81147,0.28866,3.61244,1,0.0964531,1.39625,0.150169,3.17287,0.523499
0.20381,0.18,19.9993,0.341457,0.00102613,4.99926,0.001,20,1.58025
0.139688,0.14,10.1379,0.595756,0.0174403,4.6851,0.00555365,9.50671,0.001
0.110286,0.210526,9.64047,0.782609,0.0197386,0.695947,0.00303125,10.5684,0.936528
0.0496607,0.1,14.3012,0.478256,0.00544845,4.99972,0.001,20,0.001
0.851877,0.329897,6.10408,1,0.0827296,1.66691,0.0832452,7.15262,1.66909
0.919158,0.242424,8.42394,0.666665,0.0437728,0.948821,0.00798489,7.13353,0.001
0.746034,0.20202,15.3421,0.615383,0.0134094,0.255013,0.183879,13.3558,0.001
0.888989,0.367347,5.31288,0.771931,0.068141,0.136285,0.382701,4.55424,0.001
0.820807,0.375,4.24637,1,0.111217,1.23894,0.185404,5.73751,2.40175
0.196866,0.189474,9.35698,0.818194,0.034825,0.924735,0.001,14.2427,1.73713
0.164026,0.244898,6.1365,1,0.031249,3.5608,0.00968601,7.75287,2.36322
0.704181,0.536082,2.92204,1,0.262332,0.592158,0.47212,3.35729,2.08643
0.308123,0.541667,2.9249,0.641505,0.148418,0.525802,0.805704,1.80574,0.001
0.711005,0.55914,2.14314,1,0.255469,0.455771,1.93232,2.0436,0.540081
0.908941,0.101011,15.7622,0.368441,0.00591667,0.111006,0.0130373,9.94578,0.001
0.150383,0.236559,15.9719,0.423064,0.0256888,0.799537,0.0151395,20,0.001
0.753275,0.14433,15.6656,0.520017,0.0191364,0.557616,0.001,20,0.740683
0.099611,0.344086,4.49995,0.833326,0.0694225,1.33312,0.305056,4.54238,1.02237
0.214941,0.4,5.20939,0.666658,0.0612594,0.658824,0.800199,3.57623,0.001
0.903847,0.0612251,19.9968,0.372093,0.00101983,0.000183791,0.219504,20,0.001
0.154276,0.265306,8.37104,0.571427,0.0122659,0.579667,0.0416348,10.1389,0.391635
0.587856,0.528736,3.27823,0.825404,0.156458,0.586581,0.198437,2.73332,0.001
0.313043,0.273684,6.56577,0.807691,0.0565478,0.296242,0.0685055,6.17207,0.001
0.776416,0.375,6.23298,0.980407,0.108039,0.567097,0.00337956,11.4661,3.65658
